AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE
KK Nagar,2074,2009-05-03,17,3,2,5,Partial,No,1980-12-03,Commercial,NoSeWa,Gravel,RH,4.2,3.3,2.7,3.33,513050,202111,15546980
KK Nagar,2260,2010-08-24,1,4,2,6,AdjLand,Yes,1989-08-29,House,NoSeWa,Gravel,RH,5.0,3.5,3.3,3.87,562323,97795,12224420
Karapakkam,970,2010-10-02,37,1,1,3,AdjLand,Yes,1971-02-20,House,NoSewr ,Gravel,A,2.8,5.0,2.3,3.26,189593,57453,5745250
Karapakkam,1367,2010-08-09,179,2,2,4,Partial,No,1971-09-18,House,ELO,No Access,RM,2.0,2.8,4.5,3.24,327578,146365,6969750
Chrompet,996,2011-12-09,31,1,1,3,AdjLand,Yes,2006-09-13,Others,ELO,No Access,RH,2.6,4.5,3.9,3.75,259100,134017,8934470
Karapakkam,1686,2010-03-24,41,2,2,4,Normal Sale,No,1982-03-31,House,AllPub,No Access,I,3.1,2.3,2.8,2.74,259662,119844,6658000
Karapakkam,1140,2010-03-26,161,1,1,3,Partial,Yes,1966-06-04,House,AllPub,No Access,C,3.8,2.0,3.5,3.14,198939,56111,5101000
KK Nagar,1538,2011-04-08,134,2,1,4,Partial,Yes,1994-08-08,Commercial,NoSeWa,Paved,RM,2.0,4.2,4.2,3.54,489401,158336,14394140
Karapakkam,1570,2011-02-03,118,2,2,4,Partial,Yes,1977-10-03,House,ELO,No Access,RL,2.4,3.8,4.8,3.78,393103,176495,8022500
Karapakkam,614,2009-12-25,2,1,1,2,AdjLand,No,1968-05-01,Commercial,ELO,Gravel,RH,5.0,4.3,2.9,3.95,290829,166188,6924500
Chrompet,1151,2013-10-29,40,1,1,3,Partial,No,1991-04-11,House,NoSeWa,No Access,RL,3.7,3.3,3.6,3.51,193008,100364,7720300
KK Nagar,1317,2010-09-20,46,1,1,3,Family,No,1982-09-27,House,NoSeWa,Gravel,RH,2.8,3.8,4.8,3.9,305606,183364,7640160
Velachery,1904,2012-03-14,123,3,2,5,Partial,No,1987-03-21,Commercial,ELO,No Access,RL,3.9,4.9,3.7,4.29,591656,103540,14791400
Chrompet,947,2012-07-06,37,1,1,3,AbNormal,Yes,2007-09-06,Commercial,AllPub,Gravel,RM,3.0,4.7,4.2,4.04,436974,183247,14095950
Adyar,997,2007-08-04,172,1,1,3,AdjLand,Yes,2002-09-04,House,NoSeWa,No Access,RL,2.1,4.2,3.4,3.17,358312,122581,9429275
T Nagar,1669,2010-11-23,113,1,1,4,AbNormal,Yes,1978-01-12,Others,ELO,Paved,RL,4.4,3.6,3.5,3.795,405341,202670,13511360
KK Nagar,1820,2011-12-04,177,3,2,5,Family,No,1991-04-17,Others,AllPub,Paved,RM,2.7,4.2,4.5,3.87,333954,178109,11131800
Velachery,1834,2004-06-18,123,3,2,5,AdjLand,No,1970-06-27,Others,ELO,No Access,RH,3.7,4.8,2.2,3.75,332813,66563,9508930
Karapakkam,922,2011-06-25,96,1,1,3,AdjLand,No,1963-07-07,Others,AllPub,No Access,A,4.0,4.3,4.1,4.13,170005,61820,3863750
KK Nagar,2289,2012-05-02,120,4,2,6,AdjLand,Yes,2006-06-02,House,AllPub,Paved,RL,4.3,2.2,5.0,3.95,621279,168263,12943320
KK Nagar,2041,2011-02-23,125,3,2,5,Family,Yes,1986-01-03,Commercial,NoSeWa,Paved,RM,2.4,2.3,2.6,2.45,620068,361706,17224100
Anna Nagar,1628,2009-11-03,63,1,1,4,AdjLand,No,1997-03-14,House,ELO,No Access,RH,2.8,3.2,4.5,3.58,331348,117575,10688640
Karapakkam,805,2012-01-25,130,1,1,2,Partial,Yes,2002-01-27,Others,NoSewr ,Gravel,RH,4.7,2.5,4.5,3.96,369894,147958,7397875
Adyar,1130,2007-11-08,73,1,1,3,AbNormal,Yes,1988-08-15,Others,NoSewr ,Gravel,A,3.2,3.4,4.1,3.69,345231,97373,8852085
KK Nagar,1622,2010-07-26,169,2,1,4,Partial,No,2001-07-28,House,AllPub,Paved,RM,5.0,4.3,3.3,4.11,361556,127033,9771780
KK Nagar,1873,2009-03-08,128,3,2,5,AdjLand,No,1980-10-08,House,NoSeWa,Paved,RH,2.3,3.8,2.4,2.79,417194,101981,9270980
T Nagar,1759,2012-07-01,75,1,1,4,Family,No,1974-01-16,Others,NoSeWa,Paved,RH,4.7,4.0,4.1,4.255,412379,121288,12128780
Karapakkam,1662,2009-02-08,25,2,2,4,AbNormal,No,1977-10-08,House,ELO,No Access,RL,4.7,2.8,4.8,4.17,278906,60304,7538000
Adyar,1230,2010-02-28,129,2,2,4,Partial,Yes,2001-02-03,Others,AllPub,Gravel,I,4.7,4.7,2.9,3.8,362781,106700,10670035
Adyar,1087,2007-10-08,73,1,1,3,Normal Sale,No,1974-08-18,Others,NoSewr ,Paved,A,4.0,4.4,2.9,3.53,227908,20719,6906295
Chrompet,1265,2014-12-31,150,2,1,4,Partial,Yes,1989-06-01,House,ELO,No Access,RM,4.2,3.8,2.9,3.65,243763,107256,9750500
Chrompet,740,2009-11-05,175,1,1,2,Partial,Yes,1971-05-21,Commercial,NoSewr ,No Access,RH,3.8,3.3,2.7,3.27,289840,117748,9057500
Anna Nagar,1963,2013-03-18,168,2,1,5,Family,No,1969-03-29,House,NoSewr ,Gravel,RL,2.1,4.8,4.5,3.735,429110,247063,13003330
Chrompet,908,2012-03-19,168,1,1,3,Partial,No,1977-03-28,Others,NoSewr ,Paved,RH,4.4,3.1,3.7,3.67,201494,35981,7196210
Karapakkam,1076,2011-12-05,151,1,1,3,AbNormal,Yes,1971-05-22,House,ELO,Gravel,C,2.8,4.5,4.7,4.07,203511,148008,6167000
KK Nagar,1869,2010-02-10,166,3,2,5,AdjLand,Yes,1988-07-10,Others,NoSeWa,Gravel,RM,3.8,2.4,4.1,3.5,401717,311007,12958620
Adyar,1228,2009-08-05,194,2,2,4,Family,Yes,1973-05-17,Commercial,NoSeWa,Gravel,A,3.1,3.9,4.2,3.81,495073,182395,13028240
Anna Nagar,1670,2010-12-08,133,1,1,4,Normal Sale,Yes,1991-08-17,Others,AllPub,Paved,RH,4.5,4.3,2.6,3.69,467648,173698,13361380
Chrompet,1245,2011-02-22,147,2,1,4,AbNormal,No,1986-02-28,Commercial,NoSeWa,No Access,RH,4.5,3.7,4.3,4.12,363595,100302,12537750
Chrompet,731,2010-03-07,42,1,1,2,Partial,Yes,1980-10-07,Others,AllPub,Gravel,RL,3.7,4.9,4.2,4.33,243963,69704,8712970
Velachery,1634,2011-03-22,155,2,1,4,AbNormal,Yes,2005-03-23,Commercial,AllPub,Gravel,I,4.2,3.2,3.4,3.51,491740,223518,14901220
T Nagar,1597,2007-10-08,146,1,1,4,AdjLand,No,1972-08-18,House,AllPub,Gravel,RH,3.0,2.5,3.1,2.92,416675,208337,11574300
Anna Nagar,1650,2014-07-11,16,1,1,4,AdjLand,Yes,1975-11-17,Others,AllPub,Gravel,RM,3.7,4.3,4.6,4.21,541166,150324,15032380
T Nagar,1849,2014-09-25,173,2,1,5,AbNormal,Yes,2007-09-27,Others,NoSewr ,Gravel,RM,3.9,4.1,4.0,3.995,521448,146657,16295260
Karapakkam,879,2009-10-19,164,1,1,2,AdjLand,Yes,1959-01-11,Commercial,ELO,No Access,A,4.1,2.5,2.1,2.82,253701,84567,6040500
KK Nagar,2459,2011-05-15,18,4,2,6,AdjLand,Yes,2002-05-17,House,NoSeWa,Paved,RH,4.5,3.8,4.3,4.21,451562,213237,12543380
KK Nagar,1940,2010-04-25,192,3,2,5,Normal Sale,No,2005-04-26,Others,AllPub,Gravel,RM,3.0,4.5,3.3,3.57,522014,298294,12428900
Karapakkam,547,2011-05-18,135,1,1,2,Partial,Yes,1975-05-27,Others,NoSewr ,Paved,I,4.2,2.2,4.7,3.8,215672,90281,5015625
Chrompet,928,2007-05-24,22,1,1,3,Partial,No,1988-05-28,Commercial,NoSewr ,No Access,RH,4.5,2.0,2.6,2.93,267274,128688,9899050
Karapakkam,505,2011-07-04,168,1,1,2,AdjLand,Yes,1971-04-17,Others,ELO,Paved,RH,3.4,4.9,3.1,3.73,173126,69251,5770875
Velachery,1574,2011-03-30,92,2,1,4,AbNormal,No,1968-09-04,Commercial,ELO,Paved,I,3.1,4.2,3.1,3.6,421866,180800,12053310
Chrompet,1037,2007-09-15,88,1,1,3,Normal Sale,No,1997-09-17,House,ELO,No Access,RL,3.2,3.9,3.0,3.42,215771,107885,7706100
Adyar,764,2006-10-26,105,1,1,2,AdjLand,Yes,1979-02-11,House,AllPub,No Access,C,4.1,4.2,4.1,4.12,226531,90612,6472305
Chrompet,1180,2013-05-30,195,1,1,3,Normal Sale,No,1979-08-06,Commercial,NoSewr ,No Access,RH,2.4,4.1,2.6,3.14,319397,153784,11829500
Chrompet,1110,2008-04-24,71,1,1,3,Family,Yes,1975-03-05,Commercial,NoSeWa,No Access,RH,3.5,2.4,3.6,3.09,398586,157019,12078350
Anna Nagar,1898,2013-01-22,86,2,1,5,Family,Yes,2007-01-24,House,NoSeWa,No Access,RL,2.7,2.4,2.1,2.385,340108,196216,13081070
Karapakkam,1484,2011-03-10,75,2,2,4,Family,Yes,1999-06-10,Others,NoSeWa,Paved,RH,4.8,4.7,4.5,4.65,344299,144968,9060500
Chrompet,888,2007-12-09,145,1,1,3,Partial,Yes,1996-09-14,Commercial,AllPub,Paved,RM,5.0,4.7,3.1,4.31,359157,179579,12827050
Adyar,1232,2012-10-02,95,2,2,4,Normal Sale,No,1978-02-18,Commercial,ELO,Paved,RL,3.3,2.9,2.8,2.97,465452,70523,14104610
Anna Nagar,1977,2009-12-04,88,2,1,5,Family,Yes,2004-04-13,Commercial,AllPub,Paved,RH,4.2,2.4,3.6,3.51,883120,132468,22078000
Anna Nagar,1929,2013-12-09,44,2,1,5,Family,Yes,1983-09-20,Commercial,ELO,Paved,RM,3.0,3.4,3.1,3.14,839975,243151,22104600
Adyar,1251,2011-01-28,61,2,2,4,Family,Yes,1987-03-02,Commercial,NoSewr ,Gravel,RL,2.5,2.0,3.8,3.05,494923,47896,15965260
Adyar,694,2010-06-18,125,1,1,2,AbNormal,Yes,1995-06-22,Others,NoSeWa,Gravel,A,3.6,3.7,4.5,4.07,249115,94260,6732825
Karapakkam,889,2011-08-31,128,1,1,3,Family,No,1971-10-09,Others,NoSeWa,Gravel,I,4.6,2.4,3.0,3.3,211047,83308,5553875
Chrompet,1156,2007-08-19,186,1,1,3,Partial,Yes,1979-08-26,House,NoSewr ,Paved,RH,2.5,4.9,2.1,3.34,278906,113305,8715800
Velachery,1607,2007-07-06,47,2,1,4,Normal Sale,Yes,1979-06-14,Commercial,ELO,Paved,RM,3.6,3.8,4.9,4.08,506364,306887,15344360
Anna Nagar,1986,2009-04-28,109,2,1,5,Partial,No,1964-09-05,Commercial,NoSeWa,Gravel,RL,2.5,2.7,2.7,2.63,525215,315129,21008600
KK Nagar,2340,2012-02-27,4,4,2,6,AdjLand,No,2000-01-03,House,AllPub,Gravel,RL,3.8,2.9,2.7,3.09,619312,309656,12386240
Karapakkam,756,2010-08-14,95,1,1,2,Family,Yes,1974-08-23,House,AllPub,Paved,RL,2.9,4.2,4.4,3.89,251970,156630,6810000
Adyar,1253,2012-03-23,122,2,2,4,AdjLand,Yes,1988-03-29,Commercial,NoSewr ,Paved,C,4.3,2.2,2.3,2.88,507080,56342,14085560
Velachery,1954,2012-02-20,9,3,2,5,Family,Yes,1999-02-23,Commercial,NoSewr ,Gravel,RL,2.5,3.3,3.9,3.28,548547,194646,17695060
Karapakkam,602,2010-06-03,199,1,1,2,Family,No,1974-03-15,Others,ELO,Paved,C,3.6,4.9,2.7,3.63,176238,74020,3524750
Velachery,1719,2004-06-22,77,2,1,4,Partial,No,1983-06-28,House,NoSeWa,Gravel,RL,3.4,3.1,2.0,2.85,362534,95404,9540370
T Nagar,1503,2007-04-30,28,1,1,4,Family,Yes,1972-08-05,Others,NoSeWa,Gravel,RH,3.8,2.2,4.5,3.715,421255,74339,12389840
Chrompet,825,2008-06-26,8,1,1,3,Partial,No,1987-02-07,House,NoSeWa,Paved,RM,3.2,4.2,3.8,3.78,224511,30967,7741750
Anna Nagar,1914,2013-11-26,196,2,1,5,Normal Sale,No,2004-11-28,Commercial,AllPub,Paved,RL,4.7,4.9,2.8,3.99,639920,277299,21330680
Chrompet,998,2009-08-17,21,1,1,3,AdjLand,Yes,2005-08-18,House,ELO,Paved,RH,3.5,2.9,4.3,3.5,277996,98644,8967600
Chrompet,790,2013-09-01,33,1,1,2,Family,No,1975-01-19,Others,AllPub,Paved,RM,3.0,3.4,3.1,3.19,215444,135650,7979400
Adyar,1166,2012-04-03,49,1,1,3,Normal Sale,Yes,1980-12-03,Others,ELO,Gravel,RL,2.0,4.6,4.3,3.67,434069,55650,11129980
T Nagar,1794,2013-06-16,68,1,1,4,AdjLand,No,2002-06-19,Commercial,AllPub,Gravel,RL,3.9,2.9,3.3,3.38,821637,231744,21067620
Anna Nagar,1606,2007-10-18,108,1,1,4,Partial,No,2001-10-19,Others,AllPub,Gravel,RH,4.6,3.3,2.1,3.275,483731,161244,12403350
Anna Nagar,1813,2011-06-18,186,2,1,5,Normal Sale,No,1994-06-22,Others,ELO,Paved,RM,2.1,2.9,2.3,2.38,504033,168011,14000930
Adyar,878,2008-09-13,105,1,1,3,AdjLand,Yes,1995-09-17,Commercial,NoSewr ,No Access,I,4.7,2.0,2.1,2.86,446404,11160,11160095
Anna Nagar,1573,2011-01-02,4,1,1,4,Partial,Yes,1977-09-02,Commercial,ELO,No Access,RM,4.3,2.8,2.0,3.005,453586,290295,18143430
KK Nagar,1819,2009-03-30,28,3,2,5,AdjLand,No,1986-05-04,House,AllPub,Gravel,RH,4.5,4.0,2.1,3.39,321077,140471,10033660
Karapakkam,537,2009-10-11,61,1,1,2,Family,Yes,1967-11-21,Commercial,AllPub,Gravel,C,4.7,2.1,2.9,3.2,259413,129707,6176500
Anna Nagar,1538,2008-08-13,48,1,1,4,AbNormal,No,1966-08-24,Others,AllPub,Paved,RM,3.7,2.6,4.3,3.665,400145,225082,12504530
KK Nagar,1985,2008-12-26,86,3,2,5,AdjLand,No,1985-01-01,House,NoSewr ,Paved,RH,3.1,3.2,2.3,2.81,362655,127419,9801480
Velachery,1794,2006-03-17,175,2,1,4,Normal Sale,No,1957-03-29,Others,AllPub,No Access,A,2.1,3.9,3.1,3.21,229356,136180,7167380
Chrompet,1263,2010-11-14,115,2,1,4,Partial,Yes,1977-11-22,House,ELO,No Access,RH,3.4,2.2,4.4,3.22,241922,33369,8342150
Karapakkam,818,2011-05-28,15,1,1,2,AdjLand,No,2006-05-29,House,ELO,Paved,RM,2.6,3.4,4.7,3.68,215933,158351,7197750
Velachery,1833,2009-06-28,81,3,2,5,AdjLand,Yes,1980-05-07,Others,NoSewr ,No Access,I,2.9,2.7,3.9,3.11,344506,101325,10132530
Karapakkam,737,2011-12-04,157,1,1,2,Family,Yes,1967-04-23,House,AllPub,Gravel,I,2.4,4.9,4.6,4.03,251181,119610,5980500
KK Nagar,1820,2008-09-26,68,3,2,5,Normal Sale,No,1980-03-10,Commercial,NoSeWa,Gravel,RH,4.8,4.9,2.7,3.99,566653,247003,14529560
Adyar,836,2011-05-15,101,1,1,3,AdjLand,No,1977-05-23,House,ELO,No Access,RL,2.5,2.8,4.8,3.71,290600,7265,7265010
Chrompet,1073,2010-06-27,159,1,1,3,Partial,Yes,1996-06-30,Commercial,AllPub,No Access,RM,3.1,2.4,3.8,3.03,363158,107602,13450300
Adyar,1203,2010-01-03,18,2,2,4,AdjLand,No,1974-10-03,Commercial,NoSeWa,Gravel,RM,4.0,3.7,3.4,3.64,540489,200753,15442540
Chrompet,1300,2010-08-22,111,2,1,4,AbNormal,Yes,2000-08-24,Others,ELO,Gravel,RL,2.5,4.5,2.8,3.39,313565,81295,11613500
Anna Nagar,1514,2007-07-19,147,1,1,4,Normal Sale,No,1991-07-23,House,NoSeWa,Gravel,RH,3.8,2.2,2.9,3.04,305075,141642,10895520
KK Nagar,2252,2010-01-21,50,4,2,6,AbNormal,Yes,1996-01-25,Others,NoSewr ,Paved,RM,4.1,2.0,3.1,3.07,615272,300800,13672720
Chrompet,1214,2007-09-26,148,2,1,4,Partial,Yes,1987-01-10,House,ELO,No Access,RM,4.5,3.8,3.2,3.83,261473,164631,9684200
T Nagar,1554,2008-12-04,93,1,1,4,AdjLand,Yes,1982-04-19,House,NoSewr ,No Access,RM,2.4,3.3,2.1,2.49,401447,163088,12545220
Velachery,1764,2007-04-25,30,2,1,4,Partial,Yes,1982-01-05,Others,ELO,No Access,A,2.8,3.4,3.7,3.34,277855,55571,7938700
T Nagar,1675,2014-01-22,82,1,1,4,Normal Sale,Yes,1969-02-02,Others,NoSewr ,Paved,RH,3.1,2.1,4.3,3.39,436460,102696,12837050
Chrompet,912,2012-04-17,71,1,1,3,Normal Sale,Yes,1978-04-26,Commercial,AllPub,Gravel,RH,3.6,4.7,4.4,4.28,327367,96998,12124700
Chrompet,822,2012-08-26,144,1,1,3,Normal Sale,Yes,1996-08-30,Others,NoSeWa,Paved,RM,3.4,4.2,4.4,4.02,316211,105404,9582140
Anna Nagar,1917,2009-07-12,49,2,1,5,Family,Yes,1964-12-18,House,ELO,Gravel,RM,4.5,4.8,2.7,3.855,413144,170956,14246350
T Nagar,1850,2007-02-01,74,2,1,5,AdjLand,Yes,1985-07-01,Commercial,NoSeWa,Paved,RL,2.5,4.8,4.0,3.75,869438,326039,21735940
Anna Nagar,1723,2008-04-07,36,1,1,4,AbNormal,Yes,1989-09-07,House,ELO,No Access,RL,4.0,5.0,4.5,4.45,406081,221499,12305480
Karapakkam,679,2010-10-21,169,1,1,2,AbNormal,Yes,1991-10-26,House,AllPub,No Access,A,3.5,4.3,2.0,3.14,172249,66551,3914750
Chrompet,1064,2007-03-03,2,1,1,3,AdjLand,Yes,1988-07-03,Commercial,NoSewr ,Gravel,RL,4.1,4.1,2.3,3.56,400004,214288,14285850
Velachery,1907,2010-02-24,16,3,2,5,AbNormal,No,2004-02-26,Commercial,AllPub,No Access,C,2.2,4.6,3.4,3.64,459971,250893,13938520
KK Nagar,1898,2010-06-17,30,3,2,5,Family,No,1994-06-21,House,AllPub,Paved,RM,2.6,5.0,4.6,4.12,352662,192361,10686720
Karapakkam,1669,2009-01-10,17,2,2,4,Family,Yes,1969-11-10,Commercial,NoSeWa,Paved,RH,3.4,2.1,2.6,2.69,410256,99456,12432000
Velachery,1593,2006-11-20,37,2,1,4,AdjLand,No,1985-11-25,Commercial,NoSeWa,Gravel,RL,3.7,2.3,2.5,2.71,523675,130919,14546520
Anna Nagar,1744,2013-11-06,127,1,1,4,AbNormal,No,2000-06-14,Others,ELO,Gravel,RM,2.7,3.0,2.9,2.855,566233,240649,14155830
KK Nagar,1759,2009-02-20,107,2,1,4,Family,Yes,1999-02-23,Others,AllPub,Gravel,RM,3.9,4.2,4.1,4.07,376055,175493,12535180
Karapakkam,671,2011-08-26,132,1,1,2,AdjLand,Yes,1965-06-09,Commercial,ELO,Gravel,RM,3.7,2.5,4.3,3.58,418478,223188,9299500
Chrompet,723,2010-02-18,121,1,1,2,AbNormal,Yes,1980-02-26,Commercial,AllPub,Paved,RL,2.9,4.8,4.3,4.08,332515,160895,10726300
KK Nagar,1445,2010-08-31,165,2,1,4,Normal Sale,Yes,1984-06-09,Others,AllPub,Paved,RM,3.5,3.4,2.8,3.19,485479,151038,10788420
Karapakkam,671,2010-10-17,22,1,1,2,Normal Sale,No,1987-10-23,Others,NoSeWa,Gravel,I,3.6,2.0,2.6,2.72,170655,77571,5171375
Anna Nagar,1839,2012-03-26,149,2,1,5,AdjLand,Yes,2002-03-29,Commercial,ELO,No Access,RL,2.4,4.8,5.0,4.04,654788,147855,21122200
Anna Nagar,1589,2011-01-23,196,1,1,4,Family,Yes,1991-01-28,Others,AllPub,No Access,RL,2.3,4.2,3.2,3.135,483935,241967,12735120
Velachery,1832,2006-01-15,5,3,2,5,AdjLand,Yes,1960-01-27,House,NoSeWa,No Access,A,3.3,5.0,4.3,4.37,266970,94225,7852070
Chrompet,1000,2009-11-10,20,1,1,3,AbNormal,Yes,1976-10-19,Commercial,AllPub,Paved,RH,4.3,2.7,3.9,3.54,378440,183116,12207750
Anna Nagar,1822,2009-06-19,195,2,1,5,Normal Sale,Yes,1997-06-22,Commercial,AllPub,No Access,RM,4.4,3.3,4.9,4.325,733135,172502,21562790
Adyar,1135,2009-11-24,22,1,1,3,Partial,No,1985-11-30,House,NoSeWa,Paved,RL,3.4,2.3,4.7,3.83,347122,121493,8678060
Adyar,772,2010-06-08,84,1,1,2,Partial,Yes,1972-08-15,House,ELO,Paved,I,3.4,3.8,2.9,3.23,194810,58443,6493670
Chrompet,1160,2012-09-12,12,1,1,3,AdjLand,No,1977-12-18,House,ELO,No Access,RH,4.6,4.9,4.4,4.66,210937,105468,7533450
Chrompet,1163,2008-02-15,104,1,1,3,Family,No,1999-02-17,Others,AllPub,Paved,RM,3.2,3.3,3.0,3.18,337843,143327,10237660
Chrompet,1057,2008-02-16,14,1,1,3,Normal Sale,Yes,2000-02-18,Others,ELO,No Access,RL,3.5,3.0,2.0,2.85,243466,74913,9364090
Karapakkam,948,2010-03-15,76,1,1,3,Partial,No,2001-03-17,Others,ELO,Paved,C,4.7,2.0,3.1,3.25,187198,88673,4926250
Adyar,1163,2011-06-29,97,1,1,3,AbNormal,No,1984-05-07,Others,ELO,Paved,C,2.1,4.9,2.5,2.86,308060,15403,7701505
Anna Nagar,1643,2008-04-20,197,1,1,4,Partial,Yes,1977-04-28,House,NoSewr ,Paved,RL,4.0,2.5,3.2,3.305,386521,193260,12078770
T Nagar,1946,2015-06-02,49,2,1,5,Partial,Yes,1975-02-16,Commercial,ELO,Paved,RL,4.0,2.8,3.1,3.295,746538,213297,21329650
Karapakkam,1268,2011-08-26,110,1,1,3,Family,No,1995-08-30,Others,AllPub,Paved,RH,4.4,3.7,4.8,4.35,328966,59812,7476500
KK Nagar,2242,2008-02-26,104,4,2,6,AbNormal,Yes,1988-02-03,Others,NoSewr ,Gravel,RH,4.6,2.8,2.1,3.06,461363,294760,12815640
Karapakkam,1085,2009-12-23,169,1,1,3,AbNormal,No,1982-12-30,Others,ELO,No Access,C,2.3,2.7,3.0,2.7,209145,40920,4546625
Anna Nagar,1984,2007-09-03,155,2,1,5,AdjLand,No,1985-03-14,Others,NoSeWa,Paved,RH,2.6,3.1,2.7,2.765,375983,97477,13925310
Karapakkam,787,2010-06-05,115,1,1,2,Partial,No,1984-12-05,Commercial,AllPub,Gravel,I,4.6,4.2,3.2,3.92,246245,130365,7242500
Adyar,654,2007-02-10,82,1,1,2,Normal Sale,No,1987-07-10,Commercial,ELO,Paved,I,4.1,4.3,4.4,4.29,328232,42081,8416200
Velachery,1685,2008-04-24,105,2,1,4,AbNormal,Yes,1961-06-05,Others,NoSeWa,No Access,RL,3.5,3.3,2.5,3.11,354682,98523,9852290
KK Nagar,1963,2012-11-03,95,3,2,5,AbNormal,No,2004-03-13,Commercial,AllPub,Gravel,RM,2.8,4.7,4.4,4.01,616751,342639,17131960
KK Nagar,2326,2009-10-12,58,4,2,6,AbNormal,Yes,1990-12-15,House,NoSeWa,Gravel,RH,4.8,2.9,3.4,3.67,482767,253453,12069180
Karapakkam,576,2009-04-10,94,1,1,2,AbNormal,Yes,1962-10-16,Commercial,NoSeWa,Paved,A,3.7,3.5,2.4,3.12,212603,98885,4944250
Chrompet,1256,2010-01-21,61,2,1,4,Normal Sale,Yes,1991-01-26,House,AllPub,No Access,RM,4.7,3.0,4.6,3.99,271467,146175,10441050
Karapakkam,958,2009-07-22,119,1,1,3,Family,No,1983-07-29,Others,NoSewr ,No Access,RL,3.4,5.0,4.1,4.16,313188,150330,6263750
Velachery,1823,2006-04-28,44,3,2,5,Family,Yes,1972-06-05,Others,NoSeWa,No Access,RH,3.1,4.9,2.2,3.64,362103,211227,10058430
KK Nagar,2284,2009-12-12,143,4,2,6,Normal Sale,No,2002-12-14,Commercial,NoSeWa,Gravel,RH,4.2,3.1,3.4,3.55,580554,334258,17592540
KK Nagar,1705,2011-03-19,148,2,1,4,AdjLand,No,1996-03-22,Commercial,AllPub,Paved,RH,2.4,3.9,2.4,2.85,587005,265550,13976300
Karapakkam,716,2010-05-25,17,1,1,2,Normal Sale,No,1967-05-06,House,AllPub,No Access,I,4.6,4.4,4.8,4.62,118418,94734,3947250
Chrompet,917,2012-08-24,139,1,1,3,Partial,Yes,2000-08-27,Commercial,AllPub,No Access,RL,2.1,3.7,3.4,3.13,339190,175443,11696200
Velachery,1991,2005-07-28,150,3,2,5,Partial,Yes,1992-07-31,House,NoSeWa,Paved,RH,3.4,2.2,2.5,2.59,357515,189273,10515160
Karapakkam,1676,2012-01-16,66,2,2,4,Normal Sale,No,1965-01-27,Commercial,NoSeWa,Paved,C,3.9,4.3,2.2,3.34,411850,102963,10296250
T Nagar,1860,2013-03-26,76,2,1,5,AdjLand,No,2001-03-29,Others,AllPub,Paved,RH,4.6,4.1,2.8,3.665,503251,195709,13979190
KK Nagar,1591,2011-10-15,101,2,1,4,AbNormal,Yes,1991-10-20,House,NoSewr ,Paved,RH,4.4,2.5,4.3,3.79,404381,225701,9404200
Karapakkam,1154,2010-10-21,121,1,1,3,AdjLand,No,1960-02-11,House,NoSewr ,No Access,C,3.0,4.1,2.1,2.97,212424,48681,4425500
KK Nagar,2015,2011-12-09,142,3,2,5,Partial,No,2002-09-14,Commercial,NoSeWa,Gravel,RH,4.8,2.8,4.4,4.04,705023,125337,15667180
Chrompet,963,2012-02-20,172,1,1,3,AdjLand,Yes,1985-02-26,Others,ELO,Gravel,RL,4.5,3.5,3.0,3.65,272532,151406,10093760
T Nagar,1565,2012-02-14,147,1,1,4,Normal Sale,No,1975-02-23,Others,ELO,Paved,RH,4.6,4.4,3.7,4.145,329372,90861,11357640
Velachery,1699,2004-03-10,55,2,1,4,AbNormal,Yes,1998-05-10,Others,NoSewr ,Gravel,A,3.1,3.4,4.5,3.66,349442,135894,9706720
Chrompet,1142,2012-04-28,97,1,1,3,AbNormal,No,1993-03-05,House,ELO,Gravel,RH,3.5,4.8,2.3,3.66,210496,117878,8419850
Chrompet,1268,2012-04-26,12,2,1,4,Normal Sale,No,1984-03-05,Commercial,ELO,No Access,RL,2.5,3.9,3.6,3.39,408295,65854,13170800
Anna Nagar,1731,2014-12-02,62,1,1,4,AbNormal,No,1983-02-20,Commercial,AllPub,Paved,RM,4.1,3.2,3.7,3.715,594920,118984,19830670
KK Nagar,1898,2008-08-03,162,3,2,5,AbNormal,No,1984-03-14,House,AllPub,Paved,RH,5.0,3.9,2.6,3.71,414035,150558,9409880
Adyar,845,2007-03-14,122,1,1,3,AbNormal,Yes,1992-03-17,Others,NoSewr ,No Access,RH,4.5,4.4,4.0,4.23,285499,125955,8397025
Chrompet,857,2010-12-29,176,1,1,3,AdjLand,Yes,1979-06-01,Others,NoSewr ,Gravel,RM,2.5,2.3,3.6,2.75,307239,81930,10241290
Velachery,1540,2007-08-10,112,2,1,4,AbNormal,No,1985-10-13,Commercial,AllPub,Paved,RM,4.0,3.8,2.6,3.49,541741,171076,14256340
Chrompet,1226,2014-03-14,80,2,1,4,AbNormal,No,1995-03-19,Others,ELO,Gravel,RH,2.8,4.6,3.8,3.82,305724,47769,9553870
